country;year;sex;suicides_no
Albania;1987;male;21
Albania;1987;male;16
Albania;1987;female;14
Albania;1987;male;1
Albania;1987;male;9
Albania;1987;female;1
Albania;1987;female;6
Albania;1987;female;4
Albania;1987;male;1
Albania;1988;female;2
Albania;1988;male;17
Albania;1988;male;1
Albania;1988;male;14
Albania;1988;male;4
Albania;1988;female;8
Albania;1988;female;3
Albania;1988;female;5
Albania;1988;male;5
Albania;1988;female;4
Albania;1989;male;2
Albania;1989;male;18
Albania;1989;male;15
Albania;1989;male;6
Albania;1989;male;12
Albania;1989;female;7
Albania;1989;female;5
Albania;1989;female;2
Albania;1989;female;1
Albania;1992;male;12
Albania;1992;male;9
Albania;1992;male;5
Albania;1992;male;7
Albania;1992;female;7
Albania;1992;female;4
Albania;1992;female;2
Albania;1992;female;1
Albania;1993;male;18
Albania;1993;male;7
Albania;1993;male;1
Albania;1993;male;9
Albania;1993;female;1
Albania;1993;male;1
Albania;1993;female;7
Albania;1993;female;7
Albania;1993;female;2
Albania;1993;female;1
Albania;1993;male;1
Albania;1994;male;2
Albania;1994;male;11
Albania;1994;female;2
Albania;1994;male;6
Albania;1994;male;9
Albania;1994;male;6
Albania;1994;female;6
Albania;1994;female;4
Albania;1994;female;2
Albania;1994;female;1
Albania;1994;male;1
Albania;1995;male;13
Albania;1995;male;9
Albania;1995;female;2
Albania;1995;female;13
Albania;1995;male;11
Albania;1995;male;1
Albania;1995;male;14
Albania;1995;female;7
Albania;1995;female;8
Albania;1995;male;6
Albania;1995;female;2
Albania;1995;female;2
Albania;1996;male;2
Albania;1996;male;17
Albania;1996;male;14
Albania;1996;female;16
Albania;1996;female;2
Albania;1996;female;1
Albania;1996;male;12
Albania;1996;female;9
Albania;1996;male;3
Albania;1996;female;1
Albania;1996;male;2
Albania;1996;female;1
Albania;1997;male;36
Albania;1997;male;33
Albania;1997;male;3
Albania;1997;male;3
Albania;1997;female;21
Albania;1997;male;12
Albania;1997;female;16
Albania;1997;female;2
Albania;1997;female;7
Albania;1997;female;6
Albania;1997;male;4
Albania;1998;male;3
Albania;1998;male;27
Albania;1998;female;32
Albania;1998;male;26
Albania;1998;male;29
Albania;1998;male;9
Albania;1998;female;1
Albania;1998;female;6
Albania;1998;female;9
